region,cs,freq,ml,el,cswc,wc,tweet,author,lat,lon,,,,,,,,,,,,
v,d,,,,,9, Kapoy gud mangita ug pictures and mag save2x seriously, iamsittichan,7.037013,125.512773,,,,,,,,,,,,
v,d,,,,,22, Kbye i off na daw sa akong kuya ang internet kay matulog na daw sya \ud83d \ude11 kay tamad daw ko mugawas, iamsittichan,7.037013,125.512773,,,,,,,,,,,,
v,d,,t,?,,8, @angelericasan bago ka lang nag gising gel no?, iamsittichan,7.037017,125.512768,,,,,,,,,,,,
v,d,,,,,25, NutriAsia Davao Plant POM's Cup 2014. Thank you NAI Family da pag adopt sa ako. ahaha! i super miss \u2026 http://t.co/MXKUrVxS8Q, ihateluvstoryz,7.037018,125.520325,,,,,,,,,,,,
v,d,,,,,6, Multitasking para histo and twitter hahaha, iamsittichan,7.03702,125.512773,,,,,,,,,,,,
v,d,,,,,21, 2 flawless soap \n 2 kamias herbal soap (NEW PRODUCT!-whitening) \n  \n For shipping! \n Thanks for shopping \u2026 http://t.co/caGk7PevA1, GorgeousShop101,7.037787,125.508598,,,,,,,,,,,,
v,d,,,,,5, Solo flight sa simbahan unya, SiyanaJUDE,7.037858,125.507339,,,,,,,,,,,,
v,d,,,,,13, Crush i favorite mo to kung love mo ako! Hahaha pota desperado moves, SiyanaJUDE,7.03786,125.507337,,,,,,,,,,,,
v,d,,,,,10, Dear Crush \n   ayaw sa pag lovelife ha . Sabay rata, SiyanaJUDE,7.037861,125.507336,,,,,,,,,,,,
v,d,,c,e,,8, Ahohiy!! Naa koy abs sa insta pic hahah, SiyanaJUDE,7.037863,125.507334,,,,,,,,,,,,
v,d,,,,,3, Na badtrip npd, aividanes,7.038168,125.524394,,,,,,,,,,,,
v,d,,,,,9, Di lang unta ko mag struggle sa logic haha, paulinesalabas,7.038771,125.507796,,,,,,,,,,,,
v,d,,,,,15, Lord ibless ko'g classmate sa logic nga makavibes nako pleathhhhh \ud83d \ude4f \ud83d \ude4f, paulinesalabas,7.038771,125.507795,,,,,,,,,,,,
v,d,,,,,11, Kay ngano man gud tong encoder ba!!!! Sya jud ani baaaa!, paulinesalabas,7.038772,125.507801,,,,,,,,,,,,
v,d,,,,,8, @haidinavarro lazy diha himua atong p6 mini task, patsubaldo,7.039117,125.50898,,,,,,,,,,,,
v,d,,,,,11, Animala sa mga lamok oy! Pyestahan nsad ta ani \ud83d \ude1e, eeyjhunnacano,7.039271,125.496102,,,,,,,,,,,,
v,d,,,,,3, Brownout nsad bsht, eeyjhunnacano,7.039271,125.496102,,,,,,,,,,,,
v,d,,,,,6, mgflood ko guys \ud83d \ude02 \u270c, eeyjhunnacano,7.039271,125.496102,,,,,,,,,,,,
v,d,,,,,11, Ok lng mn brownout bsta naay electricfan ba \ud83d \ude02 hahahahahaha, eeyjhunnacano,7.039271,125.496102,,,,,,,,,,,,
v,d,,,,,6, @claudcapitan pwede na mag pastora clod, patsubaldo,7.039321,125.512049,,,,,,,,,,,,
v,d,,,,,8, Relax it's just Pag-ibig. \ud83d \ude48, mjsanchezyu,7.040795,125.580629,,,,,,,,,,,,
v,d,,,,,10, Mabuti ka pa na Johan lol http://t.co/cxvb12E8Pb , janinebernardox,7.041622,125.536784,,,,,,,,,,,,
v,d,,,,,6, @lauralparaque_ receive mo ang dm ko?, RiyisKathey,7.042983,125.57404,,,,,,,,,,,,
v,d,,,,,7, Alangan naman maging good ang break up., RiyisKathey,7.042983,125.574039,,,,,,,,,,,,
v,d,,,,,6, grade six pako sa icon dah, RiyisKathey,7.042983,125.57404,,,,,,,,,,,,
v,d,,,,,6, Heh gi like niyaa akng status, RiyisKathey,7.042983,125.57404,,,,,,,,,,,,
v,d,,,,,19, that feeling na baga kaayo ang fes sa imong ex na pati bestfriend nmo iyang icrush HAHAHAHA that bullshit, RiyisKathey,7.042983,125.57404,,,,,,,,,,,,
v,d,,,,,9, Di pa talaga naga rep sa text \ud83d \ude14 , itsjovals,7.043246,125.582561,,,,,,,,,,,,
v,d,,,,,4, @rehinaspektor wah! Ngtext cla?, eNelrad101,7.043446,125.502874,,,,,,,,,,,,
v,d,,,,,3, Nagstudy nkaaaaaa? @rehinaspektor, eNelrad101,7.043446,125.502874,,,,,,,,,,,,
v,d,,,,,19, Ako na crush ni raffy dili na si belle kay ako na ang iyang kauban sa dp yieee AHAHAHAAAHAHAHAHA , chinniechua,7.04481,125.536926,,,,,,,,,,,,
v,d,,,,,10, \u201c@AyyWHOGOAT: Bawal ma inlove nakamamatay. \u201d \ud83d \udc48 RT, catexjk,7.044876,125.589235,,,,,,,,,,,,
v,d,,t,,,11, Para ata talaga sa atin itong @AyyWHOGOAT tweets guys.. @marismau @cyprusduane, catexjk,7.044876,125.589235,,,,,,,,,,,,
v,d,,,,,26, earlier. sulitin ang mga huling araw \ud83d \ude2a \ud83d \ude14 \ud83d \ude14 (unta di nasad madayon) \ud83d \ude2d \ud83d \ude2d \ud83d \ude01 http://t.co/iNSBZl1UWB , SherryLamosa,7.045295,125.529802,,,,,,,,,,,,
v,d,,,,,10, @enjaiTEGA hahahahhaha yizzz! Ddto na pirme pg lunch ha xD, LPincakitty,7.045898,125.549082,,,,,,,,,,,,
v,d,,,,,6, @TsokoMalu @enjaiTEGA ng joke c mylene, LPincakitty,7.045927,125.549071,,,,,,,,,,,,
v,d,,,,,9, @MgaPatama: #BalitaKo hindi ka daw crush ng crush mo., carmelotesvyne,7.046227,125.500872,,,,,,,,,,,,
v,d,,,,,14, Super daming books ni angeli pwedeng pwede na talaga syang magtayo ng library omg, itsmeaugiedee,7.046535,125.528432,,,,,,,,,,,,
v,d,,c,e,,12, Di makita ang moon from our house pero medj red ang sky. , itsmeaugiedee,7.046562,125.528446,,,,,,,,,,,,
v,d,,,,,20, @ryezhadinda dindaa bantu gw ngelike doong :D https://t.co/qIwZ3adjcY cukup like aja biar w bisa menangin items :D, Upalucid,7.047269,125.598661,,,,,,,,,,,,
v,d,,t,e,,4, @martellyyyy elo:) san ka?, icytooot,7.047298,125.562163,,,,,,,,,,,,
v,d,,,,,8, @ShayrahP haha way bala na tuloy. Ggo gd., icytooot,7.047299,125.562198,,,,,,,,,,,,
v,d,,,,,19, Pag may kaaway mag Bestfriend sila pero di alam nung isa gelibak na diay siya sa una. HAHAHAHA wtf!, sweetcel,7.047756,125.537374,,,,,,,,,,,,
v,d,,,,,6, @ciennefanlo oct 31 pa girl hahahaha, daniellefanlo,7.048921,125.598591,,,,,,,,,,,,
v,d,,,,,6, @ciennefanlo tas balik nov 5 haha!, daniellefanlo,7.049117,125.598602,,,,,,,,,,,,
v,d,,,?,,6, @ciennefanlo Watchu gonna do this sembreak, daniellefanlo,7.049117,125.598602,,,,,,,,,,,,
v,d,,c,,,7, Halfway through Physics! So worth the puyat!, daniellefanlo,7.049117,125.598602,,,,,,,,,,,,
v,d,,,,,22, GLOBE MORNING! Maka hyper ang 10 hours na tulog. Ta! Work na ta! @ Globe Sm City Davao Annex http://t.co/3TXJGe2pUn, joelcasas517,7.049662,125.589368,,,,,,,,,,,,
v,d,,,,,18, Long time no chikaness! \ud83d \ude01 \ud83d \ude01 \ud83d \ude01 #CatchingUp @ SM City Annex http://t.co/0guGyAT0qF, edsherhan,7.050046,125.589124,,,,,,,,,,,,
v,d,,,,,5, Si @jacalibjo16 nag tweet ha., franzzenriquez,7.050146,125.589094,,,,,,,,,,,,
v,d,,e,t,,25, Like okay this is my first time to go to Davao alone and Sir told me Dito ako sa WOF 3rd floor SM. Okay okay, iloveBLESSED,7.050219,125.587933,,,,,,,,,,,,
v,d,,t,,,20, Tapos na prod nila Maris hay nakakabitin tlaga sna next time kanta nman xa acoustic jamming w/ Yeng please @ASAPOFFICIAL!, athea143,7.050318,125.559982,,,,,,,,,,,,
v,d,,,,,14, Sila Maris na susunod guys super excited!!! \n  \n MarisRacal ASAPSupahDance \n MarisRacal ASAPSupahDance \n MarisRacal ASAPSupahDance, athea143,7.050325,125.559998,,,,,,,,,,,,
v,d,,,,,25, Dpat ung talented ang binibigyan ng break ano ba ABS sinasayang nyo ang talent ni Maris u are lucky to have her! \n  \n MarisRacal ASAPSupahDance, athea143,7.050326,125.559999,,,,,,,,,,,,
v,d,,,,,23, Spotted kanina cla Maris nsa likod nila Piolo hayaan mo Maris darating din ang araw nasa harapan kna rin at kumakanta ksama nila!, athea143,7.050349,125.559995,,,,,,,,,,,,
v,d,,,,,26, Trending pa rin til now c @MARSTELLARACAL good job guys!!! Can't get over sa prod ni Maris ang galing at sexy pa! \n  \n MarisRacal ASAPSUPAHDANCE, athea143,7.050376,125.56001,,,,,,,,,,,,
v,d,,,,,5, Crush nko akong dp b, franzzenriquez,7.050691,125.588612,,,,,,,,,,,,
v,d,,,sp,,4, conyo naman keey oy!, JoPaoMarPog,7.050765,125.565914,,,,,,,,,,,,
v,d,,,,,7, Sht ka hot jd niyaaaa \ud83d \ude14, Angelayyap,7.050792,125.559029,,,,,,,,,,,,
v,d,,,,,6, @_Emseh move on kana pls hahahaha, Angelayyap,7.050802,125.559015,,,,,,,,,,,,
v,d,,,,,7, That monday na nman bukas feeling. Zz, Angelayyap,7.050835,125.558969,,,,,,,,,,,,
v,d,,,?,,4, Bwisit ning pinsan ko, Angelayyap,7.050837,125.558966,,,,,,,,,,,,
v,d,,c,,,10, Naugot gid ko sa mga conyo ba. Srsly nami dapalon, Angelayyap,7.050837,125.558966,,,,,,,,,,,,
v,d,,,,,3, Paugat pa more, Angelayyap,7.050837,125.558966,,,,,,,,,,,,
v,d,,,,,25, Despite sa line of 7 naa ghapon koy upat ka line of 9 \ud83d \ude02 \ud83d \ude02 \ud83d \ude02 \ud83d \ude02 \ud83d \ude02 \ud83d \ude02, meneahuh,7.051602,125.525494,,,,,,,,,,,,
v,d,,,,,6, Mainain grade sa rizal! XD YESSSSSSSSS, meneahuh,7.051602,125.525494,,,,,,,,,,,,
v,d,,,,,8, Schl md: ON. No to wifi na bi, rusmademoiselle,7.051641,125.557423,,,,,,,,,,,,
v,d,,,,,32, NW:THE WALKING DEAD w/ FAMILY \ud83d \udc7b \n   UNAN \u2705 \n   KUMOT \u2705 \n B R I N G I T O N \ud83d \ude37 \ud83d \ude37 \ud83d \ude28 \ud83d \ude28, edsieljoyce_25,7.051753,125.570067,,,,,,,,,,,,
v,d,,,,,6, @imdanielpadiIla: Sweet natin \u2665 yie lol, itsivyisidor,7.051989,125.561496,,,,,,,,,,,,
v,d,,,,,12, sorry ha? wala nko gituyo. Kung in.ana daay imong na feel., Leslooyy,7.05243,125.568484,,,,,,,,,,,,
v,d,,c,,,11, Shet gwapaha dyud aning Chloe Moretz uy \ud83d \ude0d \ud83d \ude0d, mitchbangoy,7.052676,125.582609,,,,,,,,,,,,
v,d,,,,,4, Ug late na ko, srbrtnl,7.052755,125.583587,,,,,,,,,,,,
v,d,,,,,6, Uwi na sa monday! \ud83d \udc4f, VGloriani,7.05308,125.584529,,,,,,,,,,,,
v,d,,,,,15, Gusto ko makaexperience mgdonate ng blood. Pero unsaon taman kung below normal ang atong hgb :/, iannetheyummy,7.053193,125.563267,,,,,,,,,,,,
v,d,,,,,3, Hala two wives!!, knogra,7.05404,125.569984,,,,,,,,,,,,
v,d,,,,,13, Gracey? Unsa imung ginatan aw kay lion? Hahahah @bbmaryy http://t.co/2W65MxVlqu , aziram_onisna,7.054306,125.598645,,,,,,,,,,,,
v,d,,t,,,12, Hahaha.. Mejo bug at ning lion aie... Hahaha http://t.co/CukF0KP8u2 , aziram_onisna,7.054326,125.59866,,,,,,,,,,,,
v,d,,,?,,5, Selfie2 ... http://t.co/VmjrrqGD3R , aziram_onisna,7.05436,125.598698,,,,,,,,,,,,
v,d,,,,,10, Ouch \ud83d \udc94 \ud83d \ude2d http://t.co/wsGp3o8y6h, riellenieves,7.054376,125.571893,,,,,,,,,,,,
v,d,,e,?,,5, Make up sesh with kuya, jeninnieves,7.054381,125.572012,,,,,,,,,,,,
v,d,,,,,8, School na bukas tapos andto pa ako hahahha, jeninnieves,7.054381,125.572012,,,,,,,,,,,,
v,d,,c,,,2, HAHAHAHAH juskolerd, jeninnieves,7.054407,125.571987,,,,,,,,,,,,
v,d,,,,,5, @matuburan wala. We need venues!, angelychi,7.054522,125.592725,,,,,,,,,,,,
v,d,,,,,9, @itsmaryy23 sge daw bee. Try natin powers mo hahaha, aymDIVINE,7.054651,125.603144,,,,,,,,,,,,
v,d,,,,,13, At last distribution of manuals na yey \ud83d \ude04 \ud83d \udc4f \ud83d \udcaa, aymDIVINE,7.054665,125.603174,,,,,,,,,,,,
v,d,,,,,19, I am 100% sure na babagsak ako ng FinAcc kung bibilhin ko ang Blood of Olympus na book mamaya, migi_castillo,7.054725,125.580107,,,,,,,,,,,,
v,d,,,,,3, Jeje song fishti !, supahjezzz,7.055514,125.567183,,,,,,,,,,,,
v,d,,,,,5, So hungry naaa \ud83d \ude2d, shemAmp,7.055642,125.602232,,,,,,,,,,,,
v,d,,,,,5, Asa naman ang moon oy. , WindeelynGamao,7.05566,125.546611,,,,,,,,,,,,
v,d,,,,,4, Ba't walang moon!? , WindeelynGamao,7.05566,125.546611,,,,,,,,,,,,
v,d,,,,,5, Blood Moon where na u? , WindeelynGamao,7.05566,125.546611,,,,,,,,,,,,
v,d,,,,,5, @keyrcas pa followback po Thaaanks:), Ninabalayon02,7.055752,125.593466,,,,,,,,,,,,
v,d,,,,,13, Ay salamat ang mga non players ra d.i ang mg uniform ugma, jinimi16,7.05578,125.592895,,,,,,,,,,,,
v,d,,,,,11, @yun_believe @akosidodongjan2 aw. Sorry po kuya miro. Di na po mauulit :(, Nabualizer,7.056375,125.567179,,,,,,,,,,,,
v,d,,,,,7, Mag-study nalang ako. Char \ud83d \udcda, srrainec,7.057093,125.528984,,,,,,,,,,,,
v,d,,,,,6, Nag stand out nga. \ud83d \udc9b, crimesheen,7.057388,125.598506,,,,,,,,,,,,
v,d,,,,,14, J walang kasama ang bal mo dapat talaga nagda dance workshop ka na hahaha, crimesheen,7.057409,125.598506,,,,,,,,,,,,
v,d,,,,,5, Ginasira nyo ang prod joooke, crimesheen,7.05743,125.598506,,,,,,,,,,,,
v,d,,c,,,5, Hahahaha lingawa sa ASAP hahaha:), crimesheen,7.05743,125.598506,,,,,,,,,,,,
v,d,,,,,15, Yung sched ko ngayong 2nd sem 7:30am-7pm \ud83d \ude02 \ud83d \ude02 \ud83d \ude02, PrincessJPorras,7.057926,125.602167,,,,,,,,,,,,
v,d,,c,?,,4, Gsto kog lasagna baaaaa:((((, Ninabalayon02,7.058355,125.594542,,,,,,,,,,,,
v,d,,,,,4, Mg 1month na hahaha, Ninabalayon02,7.058355,125.594542,,,,,,,,,,,,
v,d,,,,,8, Birthday celebration \n Dulce agtang ! http://t.co/ryBKiInKuW , Senciothegreat,7.058406,125.612273,,,,,,,,,,,,
v,d,,,,,12, @ShierraC @missmariarina @MaryGyleM @SandyCimm @LalangQ @ReeseAyle @choeybelle @gonnaeatyouall mag-Christmas party tayo! :), fripitzipi,7.058668,125.574699,,,,,,,,,,,,
v,d,,t,,,9, craving for your attention \ud83d \ude13, clyiengzmn,7.058891,125.5291,,,,,,,,,,,,
v,d,,,,,5, I'm all 'bout that bass 'bout that bass no treble \ud83c \udfa4 \ud83c \udfa7, clyiengzmn,7.058891,125.5291,,,,,,,,,,,,
v,d,,,,,18, Kilig lang walang attachments \u270b, clyiengzmn,7.058891,125.5291,,,,,,,,,,,,
v,d,,t,,,15, @kaylaarenolayan: I'm no one's ex. If we break up then I don't know you \u263a \ufe0f, clyiengzmn,7.058892,125.5291,,,,,,,,,,,,
v,d,,,,,28, Eto ka \ud83c \udf35 \ud83c \udf35 \ud83c \udf35 \ud83c \udf35 \ud83c \udf35 yan pa \ud83c \udf35 \ud83c \udf35 \ud83c \udf35 \ud83c \udf35, clyiengzmn,7.058892,125.5291,,,,,,,,,,,,
v,d,,,??,,6, jwup \ud83d \udca4, clyiengzmn,7.058892,125.5291,,,,,,,,,,,,
v,d,,,,,12, Maitim na tuhod? Yo a Kneeguh, clyiengzmn,7.058892,125.5291,,,,,,,,,,,,
v,d,,e,t?,,6, ngano murag trip jud niya i'annoy ko kasamok uy \ud83d \ude12, clyiengzmn,7.058892,125.5291,,,,,,,,,,,,
v,d,,,,,7, Utang na loob wag muna mag Monday., clyiengzmn,7.058892,125.5291,,,,,,,,,,,,
v,d,,,,,9, Wag mo'ko i seen bai kay sakit haha, clyiengzmn,7.058892,125.5291,,,,,,,,,,,,
v,d,,,,,15, @MarcusCelis wait lang mag dig muna ako para makita ko joke mo ha \ud83d \ude09, RjReroma08,7.059272,125.57148,,,,,,,,,,,,
v,d,,,,,3, Corny mo dai, RjReroma08,7.059279,125.571563,,,,,,,,,,,,
v,d,,,,,15, @iamAdingKU nagpm kas fb? Gege. Naa kay viber? Viber nlng kay mej hassle ang fb, PrincessJPorras,7.059523,125.595253,,,,,,,,,,,,
v,d,,,,,9, \n ext comedian please \n Hindi naman kasi ako nagjoke. HAHAHAHAHAHAHA, PrincessJPorras,7.059524,125.595253,,,,,,,,,,,,
v,d,,t,,,9, @Catharine_Brynn may kilala ka na 554 ang last num? , Familar7,7.059613,125.56511,,,,,,,,,,,,
v,d,,e,t,,14, @waniedoo: why does it feel so good to be bad? Bakit nga ba? Hue , andringgg,7.060187,125.57113,,,,,,,,,,,,
v,d,,,,,16, @Amrl_16 @HeyitsHassy awwe loveyoutoo mga indayyy \ud83d \ude0d \ud83d \udc9e obai sa school nko magpuyo hahaha, janinechnllfune,7.060271,125.590773,,,,,,,,,,,,
v,d,,,,,19, @Amrl_16 @HeyitsHassy sgesge text lg :) ge tama na ang landi tulog nko acieegurl \ud83d \ude09 \ud83d \ude48 \ud83d \udca4, janinechnllfune,7.060271,125.590773,,,,,,,,,,,,
v,d,,,,,21, @iamposshh yes mylabs. kay kabalo diay ang one of the barkadas nako then karon lang ko giingnan. late na kaayo. tsk., pamimoomimap,7.061915,125.556869,,,,,,,,,,,,
v,d,,c,,,21, OMFG! Di na si sister ang christology teacher ko!! \ud83d \ude18 \ud83d \ude0d \ud83d \ude02 YES. Thank you God \ud83d \ude4f, mykelmabss,7.061964,125.576379,,,,,,,,,,,,
v,d,,t,,,18, OMFG!! Hindi na si siter ang Christology teacher ko! \ud83d \ude0d \ud83d \ude18 \ud83d \ude02 Thank you God!, mykelmabss,7.061964,125.576378,,,,,,,,,,,,
v,d,,,,,7, Jud erps dai \ud83d \ude02 \ud83d \ude02, jaynifaaa,7.062358,125.565752,,,,,,,,,,,,
v,d,,,?struct,,5, Ay ken knot \ue412 \ue412, jaynifaaa,7.06237,125.565743,,,,,,,,,,,,
v,d,,,,,8, s&amp;r tayo pleeeeaaaaaseeee mami \ud83d \ude2b, Cliiiyuuu,7.062684,125.592262,,,,,,,,,,,,
v,d,,,,,12, solved na akng problema \ud83c \udf55 \ud83d \udc4f http://t.co/yjlleauw4Q, Cliiiyuuu,7.062684,125.592262,,,,,,,,,,,,
v,d,,,,,14, Now listening to Use somebody maka lss ang kanta dhil kai @JemCubil \ud83d \ude0d, beyyachii,7.062804,125.533486,,,,,,,,,,,,
v,d,,,,,6, Sino ako kung wala si Jesus?, LiteEmittngSmyl,7.062853,125.59811,,,,,,,,,,,,
v,d,,,,,7, @AnjeyaDomingo iisa ang bituka natin. may wifi!, innasalanga,7.063813,125.596636,,,,,,,,,,,,
v,d,,,,,10, Dagan from Jaime's house to SnR &gt;_&lt; , KurtMurica,7.064107,125.58899,,,,,,,,,,,,
v,d,,,,,8, Feeling runner kaayo ko sa akong gibuhat haha , KurtMurica,7.064228,125.58897,,,,,,,,,,,,
v,d,,,,,10, Saba kaau naga tatak silag tickets sa carte blanche zzz, paowiieekzzz,7.064271,125.608504,,,,,,,,,,,,
v,d,,,,,8, Mama as conductor-a. Hahahha funny \ud83d \ude02, aaaeleni,7.064426,125.609606,,,,,,,,,,,,
v,d,,,,,8, Gcrave ko chilly cheese bowl but... \ud83d \ude2d , cgcjumilla,7.065181,125.610816,,,,,,,,,,,,
v,d,,,,,11, will watch Singing Bee kay naa akuang fave vball player! @gretchenho, yamikaaaa,7.065252,125.61327,,,,,,,,,,,,
v,d,,c,,,21, Kalimot ko mag good luck sa akuang igsuon sa ilahang Math contest kahapon. MTAP ata to. ewan. hooooo. daug unta siya, yamikaaaa,7.065263,125.613282,,,,,,,,,,,,
v,d,,,,,5, idol magrap si maxene. hoooo, yamikaaaa,7.065267,125.613286,,,,,,,,,,,,
v,d,,,,,10, @eeyley adik. sulod ka unta. exhibit bi sang mm karun, yamikaaaa,7.065269,125.613286,,,,,,,,,,,,
v,d,,,,,14, biscuits + coffee for breakfast. miss ko na luto ni mama na walay lasa. haha!, yamikaaaa,7.06528,125.613297,,,,,,,,,,,,
v,d,,,,,3, @Abymarano goodluck dyosa!, yamikaaaa,7.065285,125.613301,,,,,,,,,,,,
v,d,,,,,4, Singing Bee na powsss, yamikaaaa,7.065294,125.613311,,,,,,,,,,,,
v,d,,,,,13, Kanang 5:30 AM siya ni mata para magsolve sa iyahang reviewers. grabe, yamikaaaa,7.065307,125.613323,,,,,,,,,,,,
v,d,,,,,3, Ksrap mag foodtrip, mileesguinoo,7.066093,125.607976,,,,,,,,,,,,
v,d,,,,,9, Samoka sa christmas song oiiiiiiii!!! Di pa nko feel, ClannaKhell,7.066219,125.609363,,,,,,,,,,,,
v,d,,,,,7, Alone time lang sa ta. \ud83d \udc4d, MrCapirig,7.066254,125.6094,,,,,,,,,,,,
v,d,,,,,6, Balik muna dum hehe bye wifi, dan_jazer,7.066259,125.609399,,,,,,,,,,,,
v,d,,,,,9, Panalo ang first game! :&gt; here at mcdo! Hehe, dan_jazer,7.066288,125.609401,,,,,,,,,,,,
v,d,,,,,5, @poypilapil brendy bitoy conrad ulok, dan_jazer,7.06631,125.609382,,,,,,,,,,,,
v,d,,c,,,12, Maypa ang mga tao diri sa balay kay holiday mode. Ako ani?, masterjeremiahh,7.066356,125.617973,,,,,,,,,,,,
v,d,,,,,6, Waah! Naka relate ka? Haha @Sammyypaz, singgaaayl,7.066375,125.601944,,,,,,,,,,,,
v,d,,,,,7, Sht kalimot ko sa akng password tnga, HDDWN,7.066454,125.619359,,,,,,,,,,,,
v,d,,,,,3, Diffcal? Diffshit gurow, Kutingtingy,7.066539,125.612397,,,,,,,,,,,,
v,d,,,,,7, #MasHAPPYKapag nagtext si Crush kahit GM lng., Arthwok,7.066954,125.613012,,,,,,,,,,,,
v,d,,,,,7, Hay salamat. Nakaabot pa sa 11:11 :)), RanSheeran,7.067503,125.596925,,,,,,,,,,,,
v,d,,t,,,15, Yung pag gising mo si chinchin agad makita mo. Ay shet. Panira at araw. Hahaha, NinyaaaPinyaaa,7.06752,125.614219,,,,,,,,,,,,
v,d,,,,,9, \u2660speed daw ana si @mjmacadangdang @jackycvillar @kitcalvez hahaha \u270c, mileesguinoo,7.068093,125.608799,,,,,,,,,,,,
v,d,,,,,8, Nagfataka napd ug follow ang twitter! \ud83d \ude21, mileesguinoo,7.068094,125.608801,,,,,,,,,,,,
v,d,,,,,10, @maiiparado @jackycvillar mai ikaw fillup sa akin beh haha hehe, mileesguinoo,7.068105,125.608795,,,,,,,,,,,,
v,d,,,,,7, @dendelfierro wla pa jud ko nka start, MichaelPaoloS,7.068142,125.617365,,,,,,,,,,,,
v,d,,,,,5, Mag early nlang ko school, MichaelPaoloS,7.068142,125.617365,,,,,,,,,,,,
v,d,,c,e,,3, @mjmacadangdang okay sge, mileesguinoo,7.06847,125.608753,,,,,,,,,,,,
v,d,,,,,13, @MouthOpenOpen: Dear Kasipagan  \n  \n    Hindi ko alam kung saan kita naiwan. rn, DannahDecio,7.068511,125.615959,,,,,,,,,,,,
v,d,,,,,30, Ayn na nmn c green my jelly sa pic.with kath pero di nmn ma iinsecure c josh ky hipz gwapo kya ni.jboy haha \n  \n JOSHUAandJANE On ASAPStandout, EnanozaJanness,7.068578,125.61612,,,,,,,,,,,,
v,d,,,,,15, Galing nga sumayaw ni josh pero waley focus sa cam.... \n  \n JOSHUAandJANE On ASAPStandout, EnanozaJanness,7.068578,125.61612,,,,,,,,,,,,
